document_id,brochure,plan,page_number,text,text_length,num_tables,tables
PSHB-standard-basic,PSHB,Standard-Basic,1,"Blue Cross® and Blue Shield® Service Benefit Plan
www.fepblue.org
2026
A Fee-For-Service Plan (FEP Blue Standard and FEP Blue Basic Options) with
a Preferred Provider Organization
Corrections to 2026 brochure
 Pages 90 and 134 – The correct phone number for the Overseas Assistance Center (provided by GeoBlue) is
484-776-1200 for members located overseas. The number is 833-840-0024 for members located in the United States,
Puerto Rico, or the U.S. Virgin Islands.
 Page 147 – Under the Medicare PDP EGWP Disputed Claims Process, you have 65 days (not 60) from the date of the
plan’s Redetermination Notice to ask for an independent review.
 Page 158 – The maximum Part B Premium Reimbursement for Basic Option members who have Medicare Parts A &
B is $800, not “N/A.”
 Page 174 – Under the Retail Pharmacy Program, for Basic Option members, the coinsurance for non-preferred brand-
name drugs is 60% (no minimum) instead of the incorrectly stated 60% ($90 minimum).",972,0,
PSHB-standard-basic,PSHB,Standard-Basic,2,"Blue Cross® and Blue Shield® Service Benefit Plan
www.fepblue.org
2026
A Fee-for-Service Plan (FEP Blue Standard and FEP Blue Basic Options) with
a Preferred Provider Organization
This plan’s health coverage qualifies as minimum essential coverage
IMPORTANT
and meets the minimum value standard for the benefits it provides. See
• Rates: Back Cover
our PSHB Facts for details. This plan is accredited. See Section 1.
• Changes for 2026: Page 16
Sponsored and administered by: The Blue Cross and Blue Shield • Summary of Benefits: Page 171
Association and participating Blue Cross and Blue Shield Plans
Who may enroll in this Plan: Postal Employees and Annuitants
Enrollment codes for this Plan:
33D Standard Option - Self Only
33F Standard Option - Self Plus One
33E Standard Option - Self and Family
33A Basic Option - Self Only
33C Basic Option - Self Plus One
33B Basic Option - Self and Family
RI 71-020",907,0,
PSHB-standard-basic,PSHB,Standard-Basic,3,"Important Notice
Important Notice for Medicare-eligible Active Employees from the Blue Cross and Blue Shield
Service Benefit Plan About Our Prescription Drug Coverage and Medicare
The Office of Personnel Management (OPM) has determined that the Blue Cross and Blue Shield Service Benefit Plan’s prescription
drug coverage for active employees is, on average, expected to pay out as much as the standard Medicare prescription drug coverage
will pay for all plan participants and is considered Creditable Coverage. This means active employees and their covered family
members do not need to enroll in an open market Medicare Part D plan and pay extra for prescription drug coverage. If you decide to
enroll in Medicare Part D later, you will not have to pay a penalty for late enrollment as long as you keep your PSHB coverage as an
active employee.
However, if you (as an active employee and your covered Medicare Part D-eligible family members) choose to enroll in an open
market Medicare Part D plan, you can keep your PSHB coverage and your PSHB plan will coordinate benefits with Medicare.
Please be advised
If you lose or drop your PSHB coverage and go 63 days or longer without prescription drug coverage that is at least as good as
Medicare’s prescription drug coverage, your monthly Medicare Part D premium will go up at least 1 percent per month for every
month that you did not have that coverage. For example, if you go 19 months without Medicare Part D prescription drug coverage,
your premium will always be at least 19% higher than what many other people pay. You will have to pay this higher premium as long
as you have Medicare prescription drug coverage. In addition, you may have to wait until the next Annual Coordinated Election
Period (October 15 through December 7) to enroll in Medicare Part D.
Medicare’s Low Income Benefits
For people with limited income and resources, extra help paying for a Medicare prescription drug plan is available. Information
regarding this program is available through the Social Security Administration (SSA) online at www.socialsecurity.gov, or call the
SSA at 800-772-1213, TTY: 711.
You can get more information about open market Medicare prescription drug plans and the coverage offered in your area from these
places:
• Visit medicare.gov for personalized help.
• Call 800-MEDICARE 800-633-4227, TTY: 711.
Additional Premium for Medicare's High Income Members
Income-Related Monthly Adjustment Amount (IRMAA)
The Medicare Income-Related Monthly Adjustment Amount (IRMAA) is an amount you may pay in addition to your PSHB premium
to enroll in and maintain Medicare prescription drug coverage. This additional premium is assessed only to those with higher
incomes and is adjusted based on the income reported on your IRS tax return. You do not make any IRMAA payment to your
PSHB plan. Refer to the Part D-IRMAA section of the Medicare website: https://www.medicare.gov/drug-coverage-part-d/costs-for-
medicare-drug-coverage/monthly-premium-for-drug-plans to see if you would be subject to this additional premium.
RI - 71-020",3081,0,
PSHB-standard-basic,PSHB,Standard-Basic,4,"Table of Contents
Introduction .................................................................................................................................................................................. 4
Plain Language ............................................................................................................................................................................. 4
Stop Health Care Fraud! .............................................................................................................................................................. 4
Discrimination is Against the Law ............................................................................................................................................... 5
Preventing Medical Mistakes ....................................................................................................................................................... 6
PSHB Facts .................................................................................................................................................................................. 9
Coverage information ......................................................................................................................................................... 9
• No pre-existing condition limitation .............................................................................................................................. 9
• Minimum essential coverage (MEC) ............................................................................................................................. 9
• Minimum value standard ............................................................................................................................................... 9
• Where you can get information about enrolling in the PSHB Program ......................................................................... 9
• Enrollment types available for you and your family ...................................................................................................... 9
• Family Member Coverage ........................................................................................................................................... 10
• Children’s Equity Act .................................................................................................................................................. 11
• Medicare Prescription Drug Plan (PDP) Employer Group Waiver Plan (EGWP) ....................................................... 11
• When benefits and premiums start ............................................................................................................................... 11
• When you retire ........................................................................................................................................................... 12
When you lose benefits .................................................................................................................................................... 12
• When PSHB coverage ends ......................................................................................................................................... 12
• Upon divorce ............................................................................................................................................................... 12
• Medicare PDP EGWP .................................................................................................................................................. 12
• Temporary Continuation of Coverage (TCC) .............................................................................................................. 13
• Finding replacement coverage ..................................................................................................................................... 13
• Health Insurance Marketplace ..................................................................................................................................... 13
Section 1. How This Plan Works ............................................................................................................................................... 14
General features of our Standard and Basic Options ....................................................................................................... 14
We have a Preferred Provider Organization (PPO) .......................................................................................................... 14
How we pay professional and facility providers .............................................................................................................. 14
Your rights and responsibilities ........................................................................................................................................ 15
Your medical and claims records are confidential ............................................................................................................ 15
Section 2. Changes for 2026 ...................................................................................................................................................... 16
Section 3. How You Get Care .................................................................................................................................................... 19
Identification cards ........................................................................................................................................................... 19
Where you get covered care ............................................................................................................................................. 19
Balance Billing Protection ............................................................................................................................................... 19
• Covered professional providers ................................................................................................................................... 19
• Covered facility providers ........................................................................................................................................... 19
What you must do to get covered care ............................................................................................................................. 21
• Transitional care........................................................................................................................................................... 22
• If you are hospitalized when your enrollment begins .................................................................................................. 22
You need prior Plan approval for certain services ............................................................................................................ 23
• Inpatient hospital admission, inpatient residential treatment center admission, or skilled nursing facility
admission ......................................................................................................................................................................... 23
• Other services .............................................................................................................................................................. 23
• Surgery by Non-participating providers under Standard Option ................................................................................. 26
How to request precertification for an admission or get prior authorization for Other services ...................................... 26
• Non-urgent care claims ................................................................................................................................................ 27
• Urgent care claims ....................................................................................................................................................... 27
• Concurrent care claims ................................................................................................................................................ 27
• Emergency inpatient admission ................................................................................................................................... 28
• Maternity care .............................................................................................................................................................. 28
• If your facility stay needs to be extended .................................................................................................................... 28
• If your treatment needs to be extended ........................................................................................................................ 28
2026 Blue Cross® and Blue Shield® Service Benefit Plan 1 Table of Contents",9032,0,
PSHB-standard-basic,PSHB,Standard-Basic,5,"If you disagree with our pre-service claim decision ......................................................................................................... 28
• To reconsider a non-urgent care claim ......................................................................................................................... 28
• To reconsider an urgent care claim .............................................................................................................................. 29
• To file an appeal with OPM ......................................................................................................................................... 29
Section 4. Your Costs for Covered Services ............................................................................................................................... 30
Cost-share/Cost-sharing ................................................................................................................................................... 30
Copayment ....................................................................................................................................................................... 30
Deductible ........................................................................................................................................................................ 30
Coinsurance ...................................................................................................................................................................... 31
If your provider routinely waives your cost ..................................................................................................................... 31
Waivers ............................................................................................................................................................................ 31
Differences between our allowance and the bill ............................................................................................................... 31
Important Notice About Surprise Billing — Know Your Rights ...................................................................................... 34
Your costs for other care .................................................................................................................................................. 34
Your catastrophic protection out-of-pocket maximum for deductibles, coinsurance, and copayments ............................ 35
Carryover ......................................................................................................................................................................... 36
If we overpay you ............................................................................................................................................................ 36
When Government facilities bill us.................................................................................................................................. 36
Section 5. Benefits ..................................................................................................................................................................... 37
Non-PSHB Benefits Available to Plan Members ..................................................................................................................... 137
Section 6. General Exclusions - Services, Drugs and Supplies We Do Not Cover .................................................................. 138
Section 7. Filing a Claim for Covered Services ....................................................................................................................... 140
Section 8. The Disputed Claims Process .................................................................................................................................. 144
Section 8(a). Medicare PDP EGWP Disputed Claims Process ................................................................................................ 147
Section 9. Coordinating Benefits With Medicare and Other Coverage .................................................................................... 148
When you have other health coverage ........................................................................................................................... 148
• TRICARE and CHAMPVA ....................................................................................................................................... 148
• Workers’ Compensation ............................................................................................................................................. 149
• Medicaid .................................................................................................................................................................... 149
When other Government agencies are responsible for your care ................................................................................... 149
When others are responsible for injuries ........................................................................................................................ 149
When you have Federal Employees Dental and Vision Insurance Plan (FEDVIP) ....................................................... 150
Clinical trials .................................................................................................................................................................. 150
When you have Medicare............................................................................................................................................... 151
• The Original Medicare Plan (Part A or Part B) .......................................................................................................... 151
• Tell us about your Medicare coverage ....................................................................................................................... 152
• Private contract with your physician .......................................................................................................................... 152
• Medicare Advantage (Part C) .................................................................................................................................... 152
• Medicare prescription drug coverage (Part D) .......................................................................................................... 153
• Medicare Prescription Drug Plan (PDP) Employer Group Waiver Plan (EGWP) ..................................................... 153
• Medicare prescription drug coverage (Part B) ........................................................................................................... 154
When you are age 65 or over and do not have Medicare ............................................................................................... 156
Physicians Who Opt-Out of Medicare ........................................................................................................................... 157
When you have the Original Medicare Plan (Part A, Part B, or both) ........................................................................... 157
Section 10. Definitions of Terms We Use in This Brochure ..................................................................................................... 159
Index ........................................................................................................................................................................................ 169
Summary of Benefits for the Blue Cross and Blue Shield Service Benefit Plan Standard Option - 2026 ............................... 171
Summary of Benefits for the Blue Cross and Blue Shield Service Benefit Plan Basic Option - 2026 .................................... 173
2026 Rate Information for the Blue Cross and Blue Shield Service Benefit Plan ................................................................... 178
2026 Blue Cross® and Blue Shield® Service Benefit Plan 2 Table of Contents",8110,0,
PSHB-standard-basic,PSHB,Standard-Basic,6,"Introduction
This brochure describes the benefits of the Blue Cross and Blue Shield Service Benefit Plan - FEP Blue Standard and FEP Blue
Basic Options under contract (CS 1039PS) between the Blue Cross and Blue Shield Association and the United States Office of
Personnel Management, as authorized by the Federal Employees Health Benefits (FEHB) law as amended by the Postal Service
Reform Act, which created the Postal Services Health Benefits (PSHB) program. This Plan is underwritten by participating Blue
Cross and Blue Shield Plans (Local Plans) that administer this Plan in their individual localities. If you are deaf, hearing impaired or
speech impaired or need to reach customer service for assistance, visit our website, www.fepblue.org, or contact your Local Plan at
the phone number on the back of your ID card or TTY 711. If you need ASL providers, visit www.fepblue.org/provider to access our
National Doctor & Hospital Finder.
The address for the Blue Cross and Blue Shield Service Benefit Plan administrative office is:
Blue Cross and Blue Shield Service Benefit Plan
750 9th Street NW
Washington, DC 20001-4524
This brochure is the official statement of benefits. No verbal statement can modify or otherwise affect the benefits, limitations, and
exclusions of this brochure. It is your responsibility to be informed about your healthcare benefits.
If you are enrolled in this Plan, you are entitled to the benefits described in this brochure. If you are enrolled in Self Plus One or Self
and Family coverage, each eligible family member is also entitled to these benefits. If you are a Postal Service annuitant and you are
eligible for Medicare Part D, or a covered Medicare Part D-eligible family member of a Postal Service annuitant, your prescription
drug benefits are provided under our Medicare Part D Prescription Drug Plan (PDP) Employer Group Wavier Plan (EGWP). You do
not have a right to benefits that were available before January 1, 2026, under the PSHB Program unless those benefits are also shown
in this PSHB Plan brochure.
OPM negotiates benefits and rates for each plan annually. Benefits are effective January 1, 2026, and changes are summarized in
Section 2. Rates are shown on the back cover of this brochure.
Plain Language
All PSHB brochures are written in plain language to make them easy to understand. Here are some examples:
• Except for necessary technical terms, we use common words. For instance, “you” means the enrollee and each covered family
member; “we” means the Blue Cross and Blue Shield Service Benefit Plan.
• We limit acronyms to ones you know. OPM is the United States Office of Personnel Management. The FEHB Program is the
Federal Employees Health Benefits Program administered by OPM and established under 5 U.S.C. chapter 89. The PSHB Program
is the Postal Service Health Benefits Program established within the FEHB Program under 5 U.S.C. section 8903c. PSHB Plan
means a health benefits plan offered under the PSHB Program. PSHB means Postal Service Health Benefits. If we use others, we
tell you what they mean.
• Our brochure and other PSHB plans’ brochures have the same format and similar descriptions to help you compare plans.
Stop Health Care Fraud!
Fraud increases the cost of healthcare for everyone and increases your Postal Service Health Benefits Program premium.
OPM’s Office of the Inspector General investigates all allegations of fraud, waste, and abuse in the PSHB Program regardless of the
agency that employs you or from which you retired.
Protect Yourself From Fraud – Here are some things you can do to prevent fraud:
• Do not give your plan identification (ID) number over the phone or to people you do not know, except for your healthcare provider,
authorized health benefits plan, or OPM representative.
• Let only the appropriate medical professionals review your medical record or recommend services.
• Avoid using healthcare providers who say that an item or service is not usually covered, but they know how to bill us to get it paid.
2026 Blue Cross® and Blue Shield® Service Benefit Plan 3 Introduction/Plain Language/Advisory",4120,0,
PSHB-standard-basic,PSHB,Standard-Basic,7,"• Carefully review explanations of benefits (EOBs) statements that you receive from us.
• Periodically review your claim history for accuracy to ensure we have not been billed for services you did not receive.
• Do not ask your doctor to make false entries on certificates, bills, or records in order to get us to pay for an item or service.
• If you suspect that a provider has charged you for services you did not receive, billed you twice for the same service, or
misrepresented any information, do the following:
- Call the provider and ask for an explanation. There may be an error.
- If the provider does not resolve the matter, call the FEP Fraud Hotline at 800-FEP-8440 (800-337-8440) and explain the
situation.
- If we do not resolve the issue:
CALL THE HEALTHCARE FRAUD HOTLINE 877-499-7295
OR go to www.opm.gov/our-inspector-general/hotline-to-report-fraud-waste-or-abuse/complaint-form
The online form is the desired method of reporting fraud in order to ensure accuracy, and a quick response time.
You can also write to:
United States Office of Personnel Management
Office of the Inspector General Fraud Hotline
1900 E Street NW Room 6400
Washington, DC 20415-1100
• Do not maintain as a family member on your policy:
- Your former spouse after a divorce decree or annulment is final (even if a court order stipulates otherwise)
- Your child age 26 or over (unless they were disabled and incapable of self-support prior to age 26)
• A carrier may request that an enrollee verify the eligibility of any or all family members listed as covered under the enrollee’s
PSHB enrollment.
• If you have any questions about the eligibility of a family member, check with your personnel office if you are employed, with your
retirement office (such as OPM) if you are retired, or with the National Finance Center if you are enrolled under Temporary
Continuation of Coverage (TCC).
• Fraud or intentional misrepresentation of material fact is prohibited under the Plan. You can be prosecuted for fraud and your
agency may take action against you. Examples of fraud include falsifying a claim to obtain PSHB benefits, trying to or obtaining
service or coverage for yourself or for someone who is not eligible for coverage, or enrolling in the Plan when you are no longer
eligible.
• If your enrollment continues after you are no longer eligible for coverage (i.e., you have separated from Federal service) and
premiums are not paid, you will be responsible for all benefits paid during the period in which premiums were not paid. You may be
billed by your provider for services received. You may be prosecuted for fraud for knowingly using health insurance benefits for
which you have not paid premiums. It is your responsibility to know when you or a family member is no longer eligible to use your
health insurance coverage.
Discrimination is Against the Law
We comply with applicable Federal nondiscrimination laws and do not discriminate on the basis of race, color, national origin, age,
disability, religion, sex, pregnancy or genetic information. We do not exclude people or treat them differently because of race, color,
national origin, age, disability, religion, sex, pregnancy or genetic information.
The health benefits described in this brochure are consistent with applicable laws prohibiting discrimination. All coverage decisions
will be based on nondiscriminatory standards and criteria. An individual’s protected trait or traits will not be used to deny health
benefits for items, supplies, or services that are otherwise covered and determined to be medically necessary.
We:
2026 Blue Cross® and Blue Shield® Service Benefit Plan 4 Introduction/Plain Language/Advisory",3687,0,
PSHB-standard-basic,PSHB,Standard-Basic,8,"• Provide free aids and services to people with disabilities to communicate effectively with us, such as:
- Qualified sign language interpreters
- Written information in other formats (large print, audio, accessible electronic formats, other formats)
• Provide free language services to people whose primary language is not English, such as:
- Qualified interpreters
- Information written in other languages
If you need these services, contact the Civil Rights Coordinator of your Local Plan by contacting your Local Plan at the phone number
appearing on the back of your ID card.
If you believe that we have failed to provide these services or discriminated in another way on the basis of race, color, national origin,
age, disability, religion, sex, pregnancy or genetic information, you can file a grievance with the Civil Rights Coordinator of your
Local Plan. You can file a grievance in person or by mail, fax, or email. If you need help filing a grievance, your Local Plan’s Civil
Rights Coordinator is available to help you.
Members may file a complaint with the HHS Office for Civil Rights, OPM, or PSHB Program Carriers.
For further information about how to file a civil rights complaint, go to www.fepblue.org/en/rights-and-responsibilities/, or call the
customer service phone number on the back of your member ID card. For TTY, dial 711.
Preventing Medical Mistakes
Medical mistakes continue to be a significant cause of preventable deaths within the United States. While death is the most tragic
outcome, medical mistakes cause other problems such as permanent disabilities, extended hospital stays, longer recoveries, and even
additional treatments. Medical mistakes and their consequences also add significantly to the overall cost of healthcare. Hospitals and
healthcare providers are being held accountable for the quality of care and reduction in medical mistakes by their accrediting bodies.
You can also improve the quality and safety of your own healthcare and that of your family members by learning more about and
understanding your risks. Take these simple steps:
1. Ask questions if you have doubts or concerns.
• Ask questions and make sure you understand the answers.
• Choose a doctor with whom you feel comfortable talking.
• Take a relative or friend with you to help you take notes, ask questions and understand answers.
2. Keep and bring a list of all the medications you take.
• Bring the actual medication or give your doctor and pharmacist a list of all the medications and dosages that you take, including
non-prescription (over-the-counter) medications and nutritional supplements.
• Tell your doctor and pharmacist about any drug, food, and other allergies you have, such as latex.
• Ask about any risks or side effects of the medication and what to avoid while taking it. Be sure to write down what your doctor or
pharmacist says.
• Make sure your medication is what the doctor ordered. Ask the pharmacist about your medication if it looks different than you
expected.
• Read the label and patient package insert when you get your medication, including all warnings and instructions.
• Know how to use your medication. Especially note the times and conditions when your medication should and should not be taken.
• Contact your doctor or pharmacist if you have any questions.
• Understanding both the generic and brand names for all of your medication(s) is important. This helps ensure you do not receive
double dosing from taking both a generic and a brand of the same medication. It also helps you avoid taking a medication to which
you are allergic.
3. Get the results of any test or procedure.
2026 Blue Cross® and Blue Shield® Service Benefit Plan 5 Introduction/Plain Language/Advisory",3732,0,
PSHB-standard-basic,PSHB,Standard-Basic,9,"• Ask when and how you will get the results of tests or procedures. Will it be in person, by phone, mail, through the Plan or
Provider’s portal?
• Don’t assume the results are fine if you do not get them when expected. Contact your healthcare provider and ask for your results.
• Ask what the results mean for your care.
4. Talk to your doctor about which hospital or clinic is best for your health needs.
• Ask your doctor about which hospital or clinic has the best care and results for your condition if you have more than one hospital or
clinic to choose from to get the healthcare you need.
• Be sure you understand the instructions you get about follow-up care when you leave the hospital or clinic.
5. Make sure you understand what will happen if you need surgery.
• Make sure you, your doctor, and your surgeon all agree on exactly what will be done during the operation.
• Ask your doctor, “Who will manage my care when I am in the hospital?”
• Ask your surgeon:
“Exactly what will you be doing?”
“About how long will it take?”
“What will happen after surgery?”
“How can I expect to feel during recovery?”
• Tell the surgeon, anesthesiologist, and nurses about any allergies, bad reactions to anesthesia, and any medications or nutritional
supplements you are taking.
Patient Safety Links
For more information on patient safety, please visit:
• www.jointcommission.org/speakup.aspx. The Joint Commission’s Speak Up™ patient safety program.
• jointcommission.org/topics/patient_safety.aspx. The Joint Commission helps healthcare organizations to improve the quality and
safety of the care they deliver.
• ahrq.gov/patients-consumers/. The Agency for Healthcare Research and Quality makes available a wide-ranging list of topics not
only to inform consumers about patient safety but to help choose quality healthcare providers and improve the quality of care you
receive.
• https://psnet.ahrq.gov/issue/national-patient-safety-foundation. The National Patient Safety Foundation has information on how to
ensure safer healthcare for you and your family.
• bemedwise.org. The National Council on Patient Information and Education is dedicated to improving communication about the
safe, appropriate use of medications.
• leapfroggroup.org. The Leapfrog Group is active in promoting safe practices in hospital care.
• ahqa.org. The American Health Quality Association represents organizations and healthcare professionals working to improve
patient safety.
Preventable Healthcare Acquired Conditions (“Never Events”)
When you enter the hospital for treatment of one medical problem, you do not expect to leave with additional injuries, infections, or
other serious conditions that occur during the course of your stay. Although some of these complications may not be avoidable,
patients do suffer from injuries or illnesses that could have been prevented if doctors or the hospital had taken proper precautions.
Errors in medical care that are clearly identifiable, preventable and serious in their consequences for patients can indicate a significant
problem in the safety and credibility of a healthcare facility. These conditions and errors are sometimes called “Never Events” or
“Serious Reportable Events.”
2026 Blue Cross® and Blue Shield® Service Benefit Plan 6 Introduction/Plain Language/Advisory",3308,0,
PSHB-standard-basic,PSHB,Standard-Basic,10,"We have a benefit payment policy that encourages hospitals to reduce the likelihood of hospital-acquired conditions such as certain
infections, severe bedsores, and fractures, and to reduce medical errors that should never happen. When such an event occurs, neither
you nor your PSHB Plan will incur costs to correct the medical error.
You will not be billed for inpatient services when care is related to treatment of specific hospital-acquired conditions if you use
Preferred or Member hospitals. This policy helps to protect you from having to pay for the cost of treating these conditions, and it
encourages hospitals to improve the quality of care they provide.
2026 Blue Cross® and Blue Shield® Service Benefit Plan 7 Introduction/Plain Language/Advisory",760,0,
